comment,label,cleaned_comment
خیلی خوب و عالی بود .,1,خیلی خوب و عالی بود.
برخورد ‌خوب کارکنان .,1,برخورد خوب کارکنان.
نظافت عالی .,1,نظافت عالی.
غذای رستوران بسیار خوشمزه و عالی .,1,غذای رستوران بسیار خوشمزه و عالی.
میز صبحانه تکمیل .,1,میز صبحانه تکمیل.
هر سال به خوبی و آرامی قبل هست .,1,هر سال به خوبی و آرامی قبل هست.
همه چیز عالی بود .,1,همه چیز عالی بود.
اتاق خیلی تمیز وشیک بود .,1,اتاق خیلی تمیز وشیک بود.
تهویه عالی بود .,1,تهویه عالی بود.
ملحفه و بالش‌‌ها تخت فوق‌العاده تمیز بود .,1,ملحفه و بالش‌ها تخت فوق‌العاده تمیز بود.
غذا و کافی‌شاپ عالی بود .,1,غذا و کافی‌شاپ عالی بود.
رفتار کارمندان و پرسنل خیلی خوب بود .,1,رفتار کارمندان و پرسنل خیلی خوب بود.
سایت ایران هتل برای ما یک وعده ناهار رایگان با بوفه در نظر گرفته بود که ما سورپرایز شدیم .,1,سایت ایران هتل برای ما یک وعده ناهار رایگان با بوفه در نظر گرفته بود که ما سورپرایز شدیم.
کلا خیلی خوش گذشت .,1,کلا خیلی خوش گذشت.
همه چیز خیلی خوب بود .,1,همه چیز خیلی خوب بود.
تلویزیون اتاق اذیت می‌کرد و علی رقم رسیدگی پرسنل هتل باز هم درست نشد .,0,تلویزیون اتاق اذیت می‌کرد و علی رقم رسیدگی پرسنل هتل باز هم درست نشد.
عالی .,1,عالی.
همه چیز خوب بود .,1,همه چیز خوب بود.
بسیار هتل زیبا و تمیز و مدرن و عالی .,1,بسیار هتل زیبا و تمیز و مدرن و عالی.
همه کارکنان هتل بسیار مودب و آداب دان و محترم .,1,همه کارکنان هتل بسیار مودب و آداب‌دان و محترم.
رستوران عالی .,1,رستوران عالی.
اتاق‌های پاک و پاکیزه و بسیار راحت .,1,اتاق‌های پاک و پاکیزه و بسیار راحت.
بالش‌‌های مناسب و ملحفه‌‌های تمیز .,1,بالش‌های مناسب و ملحفه‌های تمیز.
حوله‌‌ها خشک و کلفت بود متاسفانه .,0,حوله‌ها خشک و کلفت بود متاسفانه.
دوش عالی و آب پر فشار و حمام بسیار تمیز .,1,دوش عالی و آب پر فشار و حمام بسیار تمیز.
اقامت خوبی بود .,1,اقامت خوبی بود.
مهماندار‌ها خوشرو با ادب و اخلاق پسندیده .,1,مهماندار‌ها خوشرو با ادب و اخلاق پسندیده.
کیفیت غذا خوب نبود .,0,کیفیت غذا خوب نبود.
در کل هتل نسبت به ۴ ستاره بودن خیلی ساده و معمولی بود .,0,در کل هتل نسبت به ۴ ستاره بودن خیلی ساده و معمولی بود.
سادگی و بدون دیزاین چشمگیر مخصوصا در لابی اصلی در نگاه اول توجه میهمانان را به این موضوع جلب میکند .,1,سادگی و بدون دیزاین چشمگیر مخصوصا در لابی اصلی در نگاه اول توجه میهمانان را به این موضوع جلب می‌کند.
همه کارکنان نهایت خوشرویی و همکاری را با میهمانان دارند .,1,همه کارکنان نهایت خوشرویی و همکاری را با میهمانان دارند.
خوب بود .,1,خوب بود.
بسیار خوب و عالی .,1,بسیار خوب و عالی.
 یک سفر عالی را برای من فراهم کردید .,1,یک سفر عالی را برای من فراهم کردید.
از این هتل بسیار راضی بودم .,1,از این هتل بسیار راضی بودم.
کارکنان خوش برخورد و مودبی داشت .,1,کارکنان خوش‌برخورد و مودبی داشت.
از نظر مکانی خوب بود .,1,از نظر مکانی خوب بود.
لحظات خوبی را گذراندیم .,1,لحظات خوبی را گذراندیم.
همه چیز خوب بود در این سفر .,1,همه چیز خوب بود در این سفر.
کارکنان برخورد خوبی داشتند .,1,کارکنان برخورد خوبی داشتند.
نظافت هتل هم در حد خوبی بود .,1,نظافت هتل هم در حد خوبی بود.
کاملا رضایت دارم از برخورد کارکنان و تمامی بخش‌‌های مختلف هتل .,1,کاملا رضایت دارم از برخورد کارکنان و تمامی بخش‌های مختلف هتل.
نمای بیرونی هتل واقعا با این موقعیت مکانی خوب و همچنین وجود فضای مناسب همراه با آرامشی که برای مسافران فراهم نمودند.,1,نمای بیرونی هتل واقعا با این موقعیت مکانی خوب و همچنین وجود فضای مناسب همراه با آرامشی که برای مسافران فراهم نمودند.
بسیار عالی بود .,1,بسیار عالی بود.
مهمان‌نوازی و برخورد بسیار خوب نشاندهنده این هست که پرسنل استاندارد‌ها را اخذ کرده‌اند .,1,مهمان‌نوازی و برخورد بسیار خوب نشاندهنده این هست که پرسنل استاندارد‌ها را اخذ کرده‌اند.
عالی .,1,عالی.
کارکنان خوش برخورد و مودب .,1,کارکنان خوش‌برخورد و مودب.
بهداشت خوب بود .,1,بهداشت خوب بود.
هر موقع که کار داشتم پرسنل حضور داشتند و سریع کار را انجام می‌دادند .,1,هر موقع که کار داشتم پرسنل حضور داشتند و سریع کار را انجام می‌دادند.
صبحانه هم خوب بود .,1,صبحانه هم خوب بود.
مهم‌ترین مورد نزدیکی به حرم و دور از هیاهوی بازار بود که خیلی خوب بود .,1,مهم‌ترین مورد نزدیکی به حرم و دور از هیاهوی بازار بود که خیلی خوب بود.
کارکنان بسیار خوب بودند .,1,کارکنان بسیار خوب بودند.
هتل تمیز بود ولی موکت کف اتاق ما کمی کثیف بود .,0,هتل تمیز بود ولی موکت کف اتاق ما کمی کثیف بود.
کیفیت غذا‌ها هم خوب نبود .,0,کیفیت غذا‌ها هم خوب نبود.
هتل دارای لابی خوبی بود .,1,هتل دارای لابی خوبی بود.
کارکنان همگی برخوردشان عالی بود .,1,کارکنان همگی برخوردشان عالی بود.
در کل همه چیز عالی بود .,1,در کل همه چیز عالی بود.
هتل از نظر نمای بیرون نمای خوبی ندارد .,0,هتل از نظر نمای بیرون نمای خوبی ندارد.
لازم به ذکر هست تعویض رستوران هتل از طبقه اول به طبقه هشتم فکر خوبی نبود هم کوچک هست هم فضای مناسبی برای صبحانه خوری نیست .,0,لازم به ذکر هست تعویض رستوران هتل از طبقه اول به طبقه هشتم فکر خوبی نبود هم کوچک هست هم فضای مناسبی برای صبحانه خوری نیست.
غذا‌های رستوران هتل ، خیلی با کیفیت می‌باشد .,1,غذا‌های رستوران هتل، خیلی با کیفیت می‌باشد.
برخورد کارکنان عالی بود و سرشار از احترام .,1,برخورد کارکنان عالی بود و سرشار از احترام.
در کل خیلی خوب بود .,1,در کل خیلی خوب بود.
من راضی بودم .,1,من راضی بودم.
عالی بود .,1,عالی بود.
خوب و عالی .,1,خوب و عالی.
مشکل اینترنت که کیفیت مناسبی نداشت .,0,مشکل اینترنت که کیفیت مناسبی نداشت.
پرسنل خوش برخورد .,1,پرسنل خوش‌برخورد.
رفتار کارکنان عالی بود .,1,رفتار کارکنان عالی بود.
تمیزی هتل واقعا عالی بود .,1,تمیزی هتل واقعا عالی بود.
صبحانه مفصل‌‌تر بشود بهترهست .,1,صبحانه مفصل‌تر بشود بهترهست.
در مورد اینترنت ضعف بسیار جدی وجود دارد که پیشنهاد می‌شود مورد توجه قرار گیرد .,0,در مورد اینترنت ضعف بسیار جدی وجود دارد که پیشنهاد می‌شود مورد توجه قرار گیرد.
همچنین مرتب‌سازی و نظافت روزانه اتاق هم انجام نشد .,1,همچنین مرتب‌سازی و نظافت روزانه اتاق هم انجام نشد.
همه بخش‌‌های هتل عالی بود .,1,همه بخش‌های هتل عالی بود.
همه بخش‌ها ، مخصوصا پرسنل هتل بسیار خوب بودند .,1,همه بخش‌ها، مخصوصا پرسنل هتل بسیار خوب بودند.
همه چیز خوب بود .,1,همه چیز خوب بود.
صبحانه عالی دارد .,1,صبحانه عالی دارد.
به نظرم از نظر کیفیت خوب .,1,به نظرم از نظر کیفیت خوب.
امکانات سرگرمی و تفریحی ندارد .,0,امکانات سرگرمی و تفریحی ندارد.
بسیار مودب و متشخص بودند .,1,بسیار مودب و متشخص بودند.
هتل فردوس هتلی است با مدیریت خوب .,1,هتل فردوس هتلی است با مدیریت خوب.
سرویس‌دهی خوب .,1,سرویس‌دهی خوب.
نزدیک به حرم .,1,نزدیک به حرم.
موقعیت خوب .,1,موقعیت خوب.
با داشتن ضعف‌هایی همچون نداشتن امکانات ورزشی و سرگرمی .,0,با داشتن ضعف‌هایی همچون نداشتن امکانات ورزشی و سرگرمی.
قدری ضعف در تنوع و کیفیت آیتم‌‌های صبحانه که به نظرم مدیریت هتل می‌تواند با قدری بهبود در صبحانه هم از نظر کیفیت و هم تنوع این نقیصه کوچک را برطرف نماید .,0,قدری ضعف در تنوع و کیفیت آیتم‌های صبحانه که به نظرم مدیریت هتل می‌تواند با قدری بهبود در صبحانه هم از نظر کیفیت و هم تنوع این نقیصه کوچک را برطرف نماید.
این هتل فاقد مولفه‌‌های لوکس در لابی و اتاق و رستوران است .,0,این هتل فاقد مولفه‌های لوکس در لابی و اتاق و رستوران است.
کافه هتل بسیار زیبا است .,1,کافه هتل بسیار زیبا است.
بسیار عالی .,1,بسیار عالی.
آرامش به معنای واقعی .,1,آرامش به معنای واقعی.
تنوع غذا کم است .,0,تنوع غذا کم است.
منوی غذا همه روزها مشابه است .,0,منوی غذا همه روزها مشابه است.
خوب وعالی .,1,خوب وعالی.
کلیه سرویس‌‌ها عالی .,1,کلیه سرویس‌ها عالی.
برخورد کارکنان بسیار خوب بود .,1,برخورد کارکنان بسیار خوب بود.
هتل خوبی است .,1,هتل خوبی است.
نحوه برخورد پرسنل بسیار خوب بود .,1,نحوه برخورد پرسنل بسیار خوب بود.
خوب .,1,خوب.
از نحوه بخورد پرسنل رضایت کامل دارم .,1,از نحوه بخورد پرسنل رضایت کامل دارم.
غذای هتل خیلی خوب است .,1,غذای هتل خیلی خوب است.
کارکنان و مدیریت عالی .,1,کارکنان و مدیریت عالی.
همه چیز عالی .,1,همه چیز عالی.
رضایتمند هستیم .,1,رضایتمند هستیم.
هتل مورد قبول .,1,هتل مورد قبول.
اقامت ما در هتل فردوس یکی از خاطره انگیز‌ترین مسافرت‌‌ها بود .,1,اقامت ما در هتل فردوس یکی از خاطره انگیز‌ترین مسافرت‌ها بود.
پرسنل خوش اخلاق .,1,پرسنل خوش‌اخلاق.
اتاق تمیز .,1,اتاق تمیز.
غذای عالی .,1,غذای عالی.
کلا در حد یک هتل ۵ ستاره .,1,کلا در حد یک هتل ۵ ستاره.
بسیار هتل خوب و تمیز بود .,1,بسیار هتل خوب و تمیز بود.
کارکنان و پرسنل مودب بودند .,1,کارکنان و پرسنل مودب بودند.
محیط آرام .,1,محیط آرام.
کارکنان مودب .,1,کارکنان مودب.
رسپشن خوش خلق و پاسخگو .,1,رسپشن خوش‌خلق و پاسخگو.
بسیار خوب بود .,1,بسیار خوب بود.
امکانات هتل خوب بود .,1,امکانات هتل خوب بود.
چند سال پیش که آمدم کیفیت غذا عالی بود .,1,چند سال پیش که آمدم کیفیت غذا عالی بود.
الان کیفیت خوب هست قیمت هم مناسب‌تر هست .,1,الان کیفیت خوب هست قیمت هم مناسب‌تر هست.
درکل همه چیز خوب بود .,1,درکل همه چیز خوب بود.
رستوران هتل بسیار معمولی و ضعیف بود .,0,رستوران هتل بسیار معمولی و ضعیف بود.
به جز منو رستوران که تنوع لازم را نداشت همه چیز خوب و عالی بود .,1,به جز منو رستوران که تنوع لازم را نداشت همه چیز خوب و عالی بود.
هر دو رضایت کامل داریم .,1,هر دو رضایت کامل داریم.
هتل دارای تمیزی و کیفیت مناسبی است .,1,هتل دارای تمیزی و کیفیت مناسبی است.
متاسفانه در اتاق ما سیستم تهویه پر سرو صدا بود .,0,متاسفانه در اتاق ما سیستم تهویه پر سرو صدا بود.
برخورد کارکنان هتل بسیار مودبانه بود .,1,برخورد کارکنان هتل بسیار مودبانه بود.
نزدیکی هتل به حرم مطهر بسیار مناسب است .,1,نزدیکی هتل به حرم مطهر بسیار مناسب است.
برخورد کارکنان قسمت رزرویشن و خدمه بسیار عالی .,1,برخورد کارکنان قسمت رزرویشن و خدمه بسیار عالی.
کافی شاپ و نظافت اتاق‌ها هم خیلی خوب .,1,کافی‌شاپ و نظافت اتاق‌ها هم خیلی خوب.
کیفیت اتاق خوب بود .,1,کیفیت اتاق خوب بود.
پاکیزگی اتاق خوب .,1,پاکیزگی اتاق خوب.
رستوران و کیفیت غذا ضعیف .,0,رستوران و کیفیت غذا ضعیف.
لابی متوسط و معمولی .,0,لابی متوسط و معمولی.
کافی‌شاپ ضعیف .,0,کافی‌شاپ ضعیف.
برخورد پرسنل و خدمات‌رسانی عالی .,1,برخورد پرسنل و خدمات‌رسانی عالی.
آرامش و راحتی عالی .,1,آرامش و راحتی عالی.
موقعیت مکانی عالی .,1,موقعیت مکانی عالی.
در کل اقامت خوب و آرامی در این هتل داشتم .,1,در کل اقامت خوب و آرامی در این هتل داشتم.
بخش‌‌های مختلف منظم .,1,بخش‌های مختلف منظم.
کارکنان تمیز و مودب .,1,کارکنان تمیز و مودب.
با توجه به کلاس هتل در همان سطح مجموعا رضایتمندی حاصل شد .,1,با توجه به کلاس هتل در همان سطح مجموعا رضایتمندی حاصل شد.
کارکنان هتل عالی بودند .,1,کارکنان هتل عالی بودند.
خوب .,1,خوب.
حدود ٨٥ درصد مثبت .,1,حدود ۸۵ درصد مثبت.
از هر لحاظ قابل تحسین می‌باشد .,1,از هر لحاظ قابل تحسین می‌باشد.
سپاس از مدیریت ارجمند هتل فردوس و پرسنل خوب و فهیم .,1,سپاس از مدیریت ارجمند هتل فردوس و پرسنل خوب و فهیم.
در چند سفری که مهمان هتل فردوس بودیم خدمات خوب و مطابق شأن دریافت کردیم .,1,در چند سفری که مهمان هتل فردوس بودیم خدمات خوب و مطابق شأن دریافت کردیم.
بسیار زیبا .,1,بسیار زیبا.
تمیز ، مرتب و منظم .,1,تمیز، مرتب و منظم.
ساکت و آرام می‌باشد .,1,ساکت و آرام می‌باشد.
برخورد پرسنل و جوابگویی عالی بود .,1,برخورد پرسنل و جوابگویی عالی بود.
همه چیز عالی بود .,1,همه چیز عالی بود.
رستوران دید خوبی دارد اگر زود بروید .,1,رستوران دید خوبی دارد اگر زود بروید.
نظافت اتاق‌ها هم عالی بود .,1,نظافت اتاق‌ها هم عالی بود.
صبحانه همچین چنگی به دل نمی‌زد .,0,صبحانه همچین چنگی به دل نمی‌زد.
مهم‌‌تر از همه اینترنت بود که کار نمی‌کرد و اگر هم کار می‌کرد تنها به یک حجم دانلود کم برای مسافر در نظر گرفته ‌شده بود .,0,مهم‌تر از همه اینترنت بود که کار نمی‌کرد و اگر هم کار می‌کرد تنها به یک حجم دانلود کم برای مسافر در نظر گرفته‌شده بود.
هتل خوبی هست .,1,هتل خوبی هست.
استقبال فرودگاهی ندارد .,0,استقبال فرودگاهی ندارد.
اینترنت داخل اتاق خیلی ضعیف بود .,0,اینترنت داخل اتاق خیلی ضعیف بود.
خدمات هتل خوب بود .,1,خدمات هتل خوب بود.
برخورد پرسنل هتل عالی بود .,1,برخورد پرسنل هتل عالی بود.
موقعیت مکانی ودسترسی به حرم نیز مناسب بود .,1,موقعیت مکانی ودسترسی به حرم نیز مناسب بود.
آنتن دهی اینترنت درلابی و اتاق‌ها خیلی ضعیف بود .,0,آنتن دهی اینترنت درلابی و اتاق‌ها خیلی ضعیف بود.
درمجموع ازاقامت درهتل لذت بردیم .,1,درمجموع ازاقامت درهتل لذت بردیم.
صبحانه هتل خوب بود .,1,صبحانه هتل خوب بود.
منوی ناهار و شام متنوع نبود .,0,منوی ناهار و شام متنوع نبود.
برخورد پرسنل خوب بود .,1,برخورد پرسنل خوب بود.
سرویس حمام خیلی کوچک بود .,1,سرویس حمام خیلی کوچک بود.
هتل بسیار خوب و تمیز .,1,هتل بسیار خوب و تمیز.
نسبتا به حرم نزدیک است .,1,نسبتا به حرم نزدیک است.
سرعت و آنتن دهی اینترنت وای فای در اتاقی که ما بودیم در طبقه هفتم ضعیف بود .,0,سرعت و آنتن دهی اینترنت وای فای در اتاقی که ما بودیم در طبقه هفتم ضعیف بود.
صبحانه عالی بود .,1,صبحانه عالی بود.
واقعا تازه بود مخصوصا کیک‌‌ها و شیرینی‌ها .,1,واقعا تازه بود مخصوصا کیک‌ها و شیرینی‌ها.
شیره انگور و ارده هم واقعا عالی بود .,1,شیره انگور و ارده هم واقعا عالی بود.
خدمات واقعا عالی بود .,1,خدمات واقعا عالی بود.
ناهار هتل معمولی بود و کیفیت عالی نداشت .,0,ناهار هتل معمولی بود و کیفیت عالی نداشت.
موقعیت هتل عالی بود .,1,موقعیت هتل عالی بود.
هتل بسیار شیک و خیلی تمیز بود .,1,هتل بسیار شیک و خیلی تمیز بود.
بسیار لذت بردیم از اقامت در این هتل .,1,بسیار لذت بردیم از اقامت در این هتل.
همه چیز عالی بود .,1,همه چیز عالی بود.
اگر استقبال فرودگاهی داشت که خیلی عالی‌‌تر می‌شد .,1,اگر استقبال فرودگاهی داشت که خیلی عالی‌تر می‌شد.
هتل و اتاق مناسب بودند .,1,هتل و اتاق مناسب بودند.
هتل نسبت به هزینه‌ای که کردم ارزش داشت .,1,هتل نسبت به هزینه‌ای که کردم ارزش داشت.
حتما دوباره از این هتل رزرو خواهم کرد .,1,حتما دوباره از این هتل رزرو خواهم کرد.
سرویس حمام کمی کوچک بود .,0,سرویس حمام کمی کوچک بود.
خوب .,1,خوب.
اتاق‌‌ها و امکانات عالی بودند .,0,اتاق‌ها و امکانات عالی بودند.
رسیدگی پرسنل خوب بود .,1,رسیدگی پرسنل خوب بود.
هتل عالی بود .,1,هتل عالی بود.
خیلی راضی بودیم از اقامت .,1,خیلی راضی بودیم از اقامت.
جز این مورد از همه موارد راضی بودیم .,1,جز این مورد از همه موارد راضی بودیم.
ضمنا وای فای هتل در اتاق ما سیگنال ضعیفی داشت .,0,ضمنا وای فای هتل در اتاق ما سیگنال ضعیفی داشت.
مکان و موقعیت هتل که عالی هست .,1,مکان و موقعیت هتل که عالی هست.
اتاق‌‌ها همه تمیز و مرتب بود .,1,اتاق‌ها همه تمیز و مرتب بود.
پرسنل بسیار خوب و مودب .,1,پرسنل بسیار خوب و مودب.
در نزدیکی هتل ساخت و ساز بود سر و صدا هم بود .,0,در نزدیکی هتل ساخت و ساز بود سر و صدا هم بود.
اینترنت کم سرعت و پولی در هتل .,0,اینترنت کم سرعت و پولی در هتل.
سایر موارد عالی بود .,1,سایر موارد عالی بود.
دارای فضایی بسیار خانوادگی .,1,دارای فضایی بسیار خانوادگی.
آرامش کاملا حکم‌فرما بود .,1,آرامش کاملا حکم‌فرما بود.
همچنین برخورد مهربانانه و دلسوزانه کلیه پرسنل جای تقدیر فراوان داشت .,1,همچنین برخورد مهربانانه و دلسوزانه کلیه پرسنل جای تقدیر فراوان داشت.
سرعت اینترنت معقول بود .,1,سرعت اینترنت معقول بود.
صبحانه را مهمان هتل بودیم که کیفیت فوق‌العاده بالایی داشت .,1,صبحانه را مهمان هتل بودیم که کیفیت فوق‌العاده بالایی داشت.
پارکینگ نسبتا شلوغ .,0,پارکینگ نسبتا شلوغ.
موقعیت ترافیکی شلوغ منطقه .,0,موقعیت ترافیکی شلوغ منطقه.
مسلما به خاطر نزدیکی به حرم این اتفاقات طبیعی است .,1,مسلما به خاطر نزدیکی به حرم این اتفاقات طبیعی است.
مشکل پارکینگ و ترافیک موجب.,0,مشکل پارکینگ و ترافیک موجب.
با تشکر از پذیرایی گرم تک تک پرسنل آموزش دیده هتل .,1,با تشکر از پذیرایی گرم تک‌تک پرسنل آموزش‌دیده هتل.
تخفیف خوبی هم داشت .,1,تخفیف خوبی هم داشت.
کارکنان هتل فردوس واقعا رفتار خوبی با مهمانان داشتند .,1,کارکنان هتل فردوس واقعا رفتار خوبی با مهمانان داشتند.
امکانات هتل عالی بود .,1,امکانات هتل عالی بود.
محیط آرام .,1,محیط آرام.
برخورد خوب پرسنل .,1,برخورد خوب پرسنل.
هتل عالی .,1,هتل عالی.
همگی مودب و با شخصیت .,1,همگی مودب و با شخصیت.
وای فای در اتاق‌‌ها بسیار ضعیف بود ولی در لابی خوب بود .,0,وای فای در اتاق‌ها بسیار ضعیف بود ولی در لابی خوب بود.
وای فای در لابی خوب بود .,1,وای فای در لابی خوب بود.
برخورد خوب رسپشن .,1,برخورد خوب رسپشن.
رفتار کارمندان بسیار دوستانه .,1,رفتار کارمندان بسیار دوستانه.
هتل از هر لحاظ بسیار خوب برای اقامت .,1,هتل از هر لحاظ بسیار خوب برای اقامت.
هتل فردوس از همه نظر بسیار خوب و قابل قبول بود .,1,هتل فردوس از همه نظر بسیار خوب و قابل‌قبول بود.
خیلی خوب بود .,1,خیلی خوب بود.
خوب بود .,1,خوب بود.
خیلی عالی بود .,1,خیلی عالی بود.
از همه چیز راضی بودند .,1,از همه چیز راضی بودند.
سوییت رویال عالی بود .,1,سوییت رویال عالی بود.
تخت‌‌های بی‌کیفیت .,0,تخت‌های بی‌کیفیت.
کف پوش‌‌های ۴۰ سال پیش .,0,کف پوش‌های ۴۰ سال پیش.
تمامی کارکنان از رسپشن هتل تا افرادی که مرا به اتاق راهنمایی کردند و حتی کارکنان نظافتچی خانم ، رفتار فوق‌العاده مهربان و احترام‌گذاری عالی داشتند .,1,تمامی کارکنان از رسپشن هتل تا افرادی که مرا به اتاق راهنمایی کردند و حتی کارکنان نظافتچی خانم، رفتار فوق‌العاده مهربان و احترام‌گذاری عالی داشتند.
غذا‌های هتل عالی و خوشمزه و قیمت مناسب .,1,غذا‌های هتل عالی و خوشمزه و قیمت مناسب.
اتاق‌ها عالی و تمیز .,1,اتاق‌ها عالی و تمیز.
یخچال پر از مواد خوراکی با تاریخ مصرف .,1,یخچال پر از مواد خوراکی با تاریخ مصرف.
از همه چیز بیش از حد انتظار راضی بودم و حتما به هتل هما ۲ مشهد مجددا سفر می‌کنم .,1,از همه چیز بیش از حد انتظار راضی بودم و حتما به هتل هما ۲ مشهد مجددا سفر می‌کنم.
رفتار کارکنان عالی بود .,1,رفتار کارکنان عالی بود.
بسیار مودب بودند و با سابقه .,1,بسیار مودب بودند و با سابقه.
متاسفانه فضای داخلی اتاق‌ها قدیمی و کهنه بود .,0,متاسفانه فضای داخلی اتاق‌ها قدیمی و کهنه بود.
سرویس بهداشتی دارای مشکلاتی نظیر خرابی دوش آب بود .,0,سرویس بهداشتی دارای مشکلاتی نظیر خرابی دوش آب بود.
از طرح شستشوی سبز ملحفه‌‌ها جهت حفظ محیط زیست بسیار راضی بودم .,1,از طرح شستشوی سبز ملحفه‌ها جهت حفظ محیط‌زیست بسیار راضی بودم.
میهمان‌نوازی و ادب کارکنان هتل عالی بود .,1,میهمان‌نوازی و ادب کارکنان هتل عالی بود.
لوازم و وسایل استفاده‌ شده داخلی بسیار قدیمی بود .,0,لوازم و وسایل استفاده‌شده داخلی بسیار قدیمی بود.
موکت ، کابینت‌ها ، سیستم تهویه و در کل کیفیت داخلی اتاق و راهرو‌ها و لابی بسیار قدیمی .,0,موکت، کابینت‌ها، سیستم تهویه و در کل کیفیت داخلی اتاق و راهرو‌ها و لابی بسیار قدیمی.
مهمان خارجی داشتم که این هتل را برای آن گرفتم وقتی خودم اتاق را دیدم بسیار بزرگ و عالی بود .,1,مهمان خارجی داشتم که این هتل را برای آن گرفتم وقتی خودم اتاق را دیدم بسیار بزرگ و عالی بود.
مهمان من هم خیلی راضی بود .,1,مهمان من هم خیلی راضی بود.
حمام اتاق سرد بود .,0,حمام اتاق سرد بود.
سونا و استخر هتل هم کمی کثیف بود .,0,سونا و استخر هتل هم کمی کثیف بود.
در کل از اقامت خود هتل رضایت دارم .,1,در کل از اقامت خود هتل رضایت دارم.
در کل از اقامت خود هتل رضایت دارم .,1,در کل از اقامت خود هتل رضایت دارم.
خوب .,1,خوب.
در مجموع عالی .,1,در مجموع عالی.
وسایل ، تزئینات و دکوراسیون قدیمی هستند و کهنه .,0,وسایل، تزئینات و دکوراسیون قدیمی هستند و کهنه.
پارگی و شکستگی را در مبلمان به راحتی می‌شود دید .,0,پارگی و شکستگی را در مبلمان به راحتی می‌شود دید.
در کل هتل خوبی است .,1,در کل هتل خوبی است.
سرویس و حمام هتل قدیمی و کمی جرم گرفته بود .,0,سرویس و حمام هتل قدیمی و کمی جرم گرفته بود.
اتاق‌ها خوب و دلباز .,1,اتاق‌ها خوب و دلباز.
موقعیت هتل نیز بسیار خوب بود .,1,موقعیت هتل نیز بسیار خوب بود.
امکانات و صبحانه هتل نیز خوب بودند .,1,امکانات و صبحانه هتل نیز خوب بودند.
پرسنل نیز برخورد محترمانه داشتند .,1,پرسنل نیز برخورد محترمانه داشتند.
برخورد کلیه پرسنل به خصوص پذیرش هتل در بدو ورود و زمان تحویل اتاق بسیارعالی بود .,1,برخورد کلیه پرسنل به خصوص پذیرش هتل در بدو ورود و زمان تحویل اتاق بسیارعالی بود.
مبل قدیمی بود .,0,مبل قدیمی بود.
سرویس بهداشتی قدیمی و جرم گرفته .,0,سرویس بهداشتی قدیمی و جرم گرفته.
درب کمد‌ها رنگ ریخته .,0,درب کمد‌ها رنگ ریخته.
برای من از این نظر هتل خوبی بود .,1,برای من از این نظر هتل خوبی بود.
سوئیت و سرویس‌دهی کارکنان بسیار عالی بود .,1,سوئیت و سرویس‌دهی کارکنان بسیار عالی بود.
بسیار تمیز و آرام .,1,بسیار تمیز و آرام.
هتلی با سابقه طولانی .,1,هتلی با سابقه طولانی.
امکانات ضعیف و در حد انتظار من نبود .,0,امکانات ضعیف و در حد انتظار من نبود.
کارکنان خوب .,1,کارکنان خوب.
سرویس حمام بد .,0,سرویس حمام بد.
تخلیه آب حمام بد .,0,تخلیه آب حمام بد.
نصب دوش روی وان غلط بود .,0,نصب دوش روی وان غلط بود.
یخچال سوییت خیلی کوچک بود .,0,یخچال سوییت خیلی کوچک بود.
کتری آب جوش سوراخ بود .,0,کتری آب جوش سوراخ بود.
نور اتاق خیلی کم .,0,نور اتاق خیلی کم.
اینترنت رایگان نبود .,0,اینترنت رایگان نبود.
در حد خیلی کم رایگان و کانکت مرتب قطع می‌شد .,0,در حد خیلی کم رایگان و کانکت مرتب قطع می‌شد.
صبحانه عالی .,1,صبحانه عالی.
پارکینگ رو باز بود و هتل آرام و زیبا بود .,1,پارکینگ رو باز بود و هتل آرام و زیبا بود.
برخورد کارکنان خوب بود .,1,برخورد کارکنان خوب بود.
پرسنل خوش برخورد .,1,پرسنل خوش‌برخورد.
کارکنان مرتب و مسلط بودند .,1,کارکنان مرتب و مسلط بودند.
امکانات هتل خوب نبود .,0,امکانات هتل خوب نبود.
فضای لابی خیلی خوب هست .,1,فضای لابی خیلی خوب هست.
اتاق‌‌ها خوب نبود .,0,اتاق‌ها خوب نبود.
کیفیت صبحانه پایین بود .,0,کیفیت صبحانه پایین بود.
هتل خوبی هست .,1,هتل خوبی هست.
کارکنان بسیار خوب وهمراه هستند .,1,کارکنان بسیار خوب وهمراه هستند.
هتل سرویس خوبی ارائه می‌دهد .,1,هتل سرویس خوبی ارائه می‌دهد.
پذیرش را بسیار حرفه‌ای دیدم .,1,پذیرش را بسیار حرفه‌ای دیدم.
صبحانه و سرویس مربوط عالی بود .,1,صبحانه و سرویس مربوط عالی بود.
صبحانه و تنوع و کیفیت غذا‌‌ها عالی بود .,1,صبحانه و تنوع و کیفیت غذا‌ها عالی بود.
غذا‌های رستوران سنتی علی‌الخصوص کباب کوبیده نقص نداشت .,1,غذا‌های رستوران سنتی علی‌الخصوص کباب کوبیده نقص نداشت.
تاکسی سرویس بسیار گران است تقریبا دو برابر کرایه تاکسی‌‌های شهری و فرودگاه .,0,تاکسی سرویس بسیار گران است تقریبا دو برابر کرایه تاکسی‌های شهری و فرودگاه.
هتل بسیار خوب با اتاق‌های بزرگ و راحت .,1,هتل بسیار خوب با اتاق‌های بزرگ و راحت.
نظافت خوب .,1,نظافت خوب.
